model_id,category,subset,subset_name,family,image,miou,dice,pixel_acc
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (19).jpg,0.4912245008680556,0.49557340485215035,0.9824490017361112
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (2).jpg,0.3929578993055556,0.44006318731393157,0.7859157986111112
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (20).jpg,0.2527533637152778,0.33577181570839115,0.5055067274305556
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (21).jpg,0.2800157335069444,0.358987288946078,0.5600314670138888
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (3).jpg,0.4155544704861111,0.45388284791561734,0.8311089409722222
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (4).jpg,0.4222547743055556,0.4578504617918701,0.8445095486111112
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (5).jpg,0.4121771918402778,0.45186088352935927,0.8243543836805556
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (6).jpg,0.3391791449652778,0.40417966413990397,0.6783582899305556
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (7).jpg,0.3035753038194444,0.377780778449178,0.6071506076388888
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (8).jpg,0.4047444661458333,0.44735776928266247,0.8094889322916666
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (9).jpg,0.2822265625,0.36079900124843944,0.564453125
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (1).jpg,0.4793294270833333,0.48944656805717135,0.9586588541666666
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (10).jpg,0.4829915364583333,0.49134862157463366,0.9659830729166666
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (11).jpg,0.4801839192708333,0.48989165179127403,0.9603678385416666
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (12).jpg,0.4811197916666667,0.49037823490378235,0.9622395833333334
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (13).jpg,0.48583984375,0.4928182268449728,0.9716796875
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (14).jpg,0.4823947482638889,0.4910396244650007,0.9647894965277778
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (15).jpg,0.4553765190972222,0.4766461285101792,0.9107530381944444
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (16).jpg,0.5281097044771625,0.5948399455875747,0.9290093315972222
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (17).jpg,0.48388572086377685,0.5463125468648768,0.8855523003472222
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (18).jpg,0.4794921875,0.48953140578265203,0.958984375
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (19).jpg,0.4806586371527778,0.4901385853779978,0.9613172743055556
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (2).jpg,0.4742567274305556,0.4867882500348044,0.9485134548611112
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (20).jpg,0.4797905815972222,0.4896868684072095,0.9595811631944444
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (21).jpg,0.4830050998263889,0.49135563987581926,0.9660101996527778
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (22).jpg,0.4774848090277778,0.4884830992951102,0.9549696180555556
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (23).jpg,0.4811333550347222,0.49038528000884746,0.9622667100694444
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (24).jpg,0.4805365668402778,0.4900751110065982,0.9610731336805556
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (25).jpg,0.4814181857638889,0.49053318223278697,0.9628363715277778
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (3).jpg,0.4844835069444444,0.49211947536647194,0.9689670138888888
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (4).jpg,0.4753282335069444,0.48735206997733244,0.9506564670138888
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (5).jpg,0.4953207742137602,0.5581930987820474,0.8985731336805556
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (6).jpg,0.566209924017791,0.6404858045597615,0.95263671875
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (7).jpg,0.4795057508680556,0.4895384743204509,0.9590115017361112
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (8).jpg,0.4844292534722222,0.49209148525764673,0.9688585069444444
sam_vit_base,foundation_sam,418-17-4ph-x5,418 Printed 17-4 PH Steel,Steel,x5 (9).jpg,0.4823133680555556,0.49099745940572187,0.9646267361111112
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (1).jpg,0.2795681423611111,0.35861924977381865,0.5591362847222222
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (2).jpg,0.2582600911458333,0.3405956533404883,0.5165201822916666
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (3).jpg,0.3234320746527778,0.39278537308515893,0.6468641493055556
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (4).jpg,0.2877197265625,0.3652564698589803,0.575439453125
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (5).jpg,0.2982855902777778,0.37365774092700826,0.5965711805555556
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 10 (6).jpg,0.3079833984375,0.3811754041395981,0.615966796875
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (1).jpg,0.4164496527777778,0.4544162917357329,0.8328993055555556
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (2).jpg,0.4065483940972222,0.4484574643167061,0.8130967881944444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (3).jpg,0.2576361762152778,0.34005263252116935,0.5152723524305556
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (4).jpg,0.3748101128472222,0.42844739371763463,0.7496202256944444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (5).jpg,0.35958126463025436,0.4372518098470868,0.6919216579861112
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 20 (6).jpg,0.3469780815972222,0.409665951381994,0.6939561631944444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (1).jpg,0.2946099175347222,0.37076043355807803,0.5892198350694444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (2).jpg,0.2734917534722222,0.35358069720137475,0.5469835069444444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (3).jpg,0.2852105034722222,0.3632280798728667,0.5704210069444444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (4).jpg,0.2648494556006271,0.3575441405632791,0.5141059027777778
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 5 (5).jpg,0.3246934678819444,0.39371412594773286,0.6493869357638888
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (1).jpg,0.2769097222222222,0.3564245810055866,0.5538194444444444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (2).jpg,0.3306884765625,0.39808963997060987,0.661376953125
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (3).jpg,0.2516411675347222,0.33478896367540645,0.5032823350694444
sam_vit_base,foundation_sam,5884-armor-steel,5884 Armor Steel,Steel,5884 x 50 (4).jpg,0.2869873046875,0.3646657360012409,0.573974609375
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (1).jpg,0.4097086588541667,0.45037348481459943,0.8194173177083334
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (10).jpg,0.4213460286458333,0.457315726714658,0.8426920572916666
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (2).jpg,0.4111056857638889,0.4512162443802662,0.8222113715277778
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (3).jpg,0.4054226345486111,0.4477717024941952,0.8108452690972222
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (4).jpg,0.41259765625,0.4521134296415195,0.8251953125
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (5).jpg,0.4171413845486111,0.4548277850899895,0.8342827690972222
sam_vit_base,foundation_sam,6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (6).jpg,0.4124755859375,0.4520401337792642,0.824951171875
