subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
4130-steel,4130 Steel,Steel,4130 x 20 (15).jpg,0.7348873122927138,0.8470907898435305,0.8478190104166666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (16).jpg,0.7030414596714905,0.8256164746477196,0.8257107204861112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (17).jpg,0.70433277185102,0.8264959722790659,0.82666015625,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (18).jpg,0.7352605290167018,0.8473684735264434,0.8478732638888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (19).jpg,0.7316405241412784,0.8450049942608899,0.8451605902777778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (20).jpg,0.7221706381197135,0.8386526208375488,0.8388129340277778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (1).jpg,0.4322953969893413,0.59983619695121,0.6131456163194444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (2).jpg,0.37730910137063933,0.5279227276117033,0.5901963975694444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (3).jpg,0.39444043166429454,0.5337487043386488,0.6343315972222222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (4).jpg,0.40364032714156106,0.5366837840579152,0.6581217447916666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
